,2,28,99,37,27
0,205,67,543,414,479
1,67,414,414,456,342
2,320,479,479,353,62
3,507,507,507,543,194
4,149,149,149,480,241
5,25,25,25,479,455
6,541,541,541,507,543
7,46,46,46,149,507
8,537,537,537,25,149
9,27,27,27,541,25
