index_P,index_sent,lesks,lesks_name
0,0,[Synset('washington.n.05')],['washington.n.05']
0,1,[],[]
0,2,[],[]
0,3,[],[]
0,4,[],[]
0,5,[Synset('pitching.n.01')],['pitching.n.01']
0,6,[Synset('large.n.01')],['large.n.01']
0,7,[],[]
0,8,[],[]
0,9,[],[]
